Country,Currency,Exchange rate,Price perception,Avg rent local,Avg rent usd,Apples qty,Apples price local,apples per unit usd,Bananas qty,Bananas price local,bananas per unit USD,Tomatoes qty,Tomatoes price local,tomatoes per unit USD,Potatoes qty,Potatoes price local,potatoes per unit USD,Flour qty,Flour price local,flour per unit USD,Rice qty,Rice price local,rice per unit USD,Milk qty,Milk price local,milk per unit USD,Butter qty,Butter price local,butter per unit USD,Eggs qty,Eggs price local,eggs per unit USD,Chicken qty,Chicken price local,chicken per unit USD
Brazil,BRL,0.18,Mid-range,800,144,1,8.98,1.6164,1,4.55,0.819,1,8.95,1.611,1,4.98,0.8964,1,4.29,0.7722,5,26.5,0.954,1,4.59,0.8262,0.2,12.59,11.331,12,6.99,0.10485,1,16.65,2.997
Brazil,BRL,0.18,Mid-range,800,144,,,,1,5.99,1.0782,1,5.99,1.0782,0,0,#DIV/0!,1,4.78,0.8604,5,21.95,0.7902,1,4.98,0.8964,0.2,11.98,10.782,12,10.98,0.1647,1,19.35,3.483
Brazil,BRL,0.18,Mid-range,800,144,,,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,1,4.45,0.801,1,7.85,1.413,1,4.49,0.8082,0.2,12.98,11.682,0,0,#DIV/0!,1,16.99,3.0582
Brazil,BRL,0.18,Mid-range,800,144,1,9.49,1.7082,1,4.29,0.7722,1,7.29,1.3122,1,6.49,1.1682,1,4.69,0.8442,1,7.39,1.3302,1,4.49,0.8082,0.5,8.99,3.2364,12,7.99,0.11985,1,16.29,2.9322
Brazil,BRL,0.18,Mid-range,800,144,,,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,1,5.78,1.0404,1,7.29,1.3122,0,0,#DIV/0!,0,0,#DIV/0!,12,10.99,0.16485,1,13.59,2.4462
Brazil,BRL,0.18,Mid-range,800,144,,,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,1,7.29,1.3122,1,9.99,1.7982,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
Brazil,BRL,0.18,Mid-range,800,144,1,13.99,2.5182,1,3.99,0.7182,1,6.99,1.2582,1,5.99,1.0782,1,3.99,0.7182,5,21.95,0.7902,1,4.59,0.8262,0.2,13.5,12.15,12,7.69,0.11535,1,9.99,1.7982
Brazil,BRL,0.18,Mid-range,800,144,1,15.29,2.7522,1,7.19,1.2942,0,0,#DIV/0!,0,0,#DIV/0!,1,4.49,0.8082,0,0,#DIV/0!,1,4.49,0.8082,0.2,12.9,11.61,12,6.79,0.10185,1,12.29,2.2122
Brazil,BRL,0.18,Mid-range,800,144,,,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,1,4.29,0.7722,0.2,12.5,11.25,12,6.89,0.10335,0,0,#DIV/0!
United States of America,USD,1,Small store in expensive neighborhood (high prices),3700,3700,0.45,1.99,4.422222222,0.45,1.99,4.422222222,0.45,2.69,5.977777778,0.45,0.99,2.2,2.27,2.49,1.0969163,0.9,8.99,9.988888889,0.946,2.19,2.315010571,0.45,4.99,11.08888889,12,9.99,0.8325,0.68,7.14,10.5
United States of America,USD,1,Small store in expensive neighborhood (high prices),3700,3700,0.45,2.99,6.644444444,0.45,1.19,2.644444444,0.45,3.99,8.866666667,0.45,1.99,4.422222222,0,0,#DIV/0!,0.9,6.99,7.766666667,1.89,3.99,2.111111111,0.225,3.69,16.4,12,5.99,0.499166667,0.68,11.81,17.36764706
United States of America,USD,1,Small store in expensive neighborhood (high prices),3700,3700,,,,0.45,1.99,4.422222222,0.45,3.99,8.866666667,0.45,1.49,3.311111111,0,0,#DIV/0!,0.4,2.99,7.475,1.89,3.99,2.111111111,0.45,6.29,13.97777778,12,4.49,0.374166667,0.68,7.24,10.64705882
United States of America,USD,1,Mid-range,2850,2850,1.36,2.99,2.198529412,0.9,1.79,1.988888889,0.45,1.59,3.533333333,2.26,1.99,0.880530973,2.26,1.49,0.659292035,0.9,4.19,4.655555556,0.946,1.99,2.10359408,0.45,4.99,11.08888889,12,1.99,0.165833333,0.45,3.99,8.866666667
United States of America,USD,1,Mid-range,2850,2850,1.36,4.99,3.669117647,0.33,0.29,0.878787879,0.45,3.19,7.088888889,1.36,1.99,1.463235294,2.26,1.99,0.880530973,0.45,0.95,2.111111111,1.5,4.39,2.926666667,0.45,3.69,8.2,12,5.39,0.449166667,0.82,9.99,12.18292683
United States of America,USD,1,Mid-range,2850,2850,1.36,4.69,3.448529412,0,0,#DIV/0!,0.225,3.49,15.51111111,0,0,#DIV/0!,0,0,#DIV/0!,0.25,2.99,11.96,1.89,3.49,1.846560847,0.225,2.99,13.28888889,12,2.99,0.249166667,0.45,6.49,14.42222222
United States,USD,1,Mid-range,2663,2663,1,6.5,6.5,1,1.75,1.75,1,5.98,5.98,1,2,2,1,2.99,2.99,1,3,3,1,1.5,1.5,1,6,6,12,3,0.25,0.73,10.51,14.39726027
United States,USD,1,Mid-range,2663,2663,1,10.2,10.2,1,1.33,1.33,1,5.98,5.98,1,2.5,2.5,1,3.99,3.99,1,4.45,4.45,1,1.19,1.19,1,14,14,12,2.69,0.224166667,1.23,7.34,5.967479675
